year,geo,occ,wage_rate
2013,Nova Scotia,Health occupations [3],892.6
2014,Nova Scotia,Health occupations [3],935.11
2015,Nova Scotia,Health occupations [3],972.54
2016,Nova Scotia,Health occupations [3],968.96
2017,Nova Scotia,Health occupations [3],998.19
2018,Nova Scotia,Health occupations [3],988.68
1997,Nova Scotia,Professional occupations in nursing [30],587.48
1998,Nova Scotia,Professional occupations in nursing [30],639.35
1999,Nova Scotia,Professional occupations in nursing [30],683.94
2000,Nova Scotia,Professional occupations in nursing [30],724.55
2001,Nova Scotia,Professional occupations in nursing [30],696.45
2002,Nova Scotia,Professional occupations in nursing [30],792.15
2003,Nova Scotia,Professional occupations in nursing [30],795.84
2004,Nova Scotia,Professional occupations in nursing [30],865.93
2005,Nova Scotia,Professional occupations in nursing [30],883.7
2006,Nova Scotia,Professional occupations in nursing [30],957.87
2007,Nova Scotia,Professional occupations in nursing [30],984.18
2008,Nova Scotia,Professional occupations in nursing [30],966.3
2009,Nova Scotia,Professional occupations in nursing [30],1011.98
2010,Nova Scotia,Professional occupations in nursing [30],1054.11
2011,Nova Scotia,Professional occupations in nursing [30],1038.87
2012,Nova Scotia,Professional occupations in nursing [30],1080.96
2013,Nova Scotia,Professional occupations in nursing [30],1085.46
2014,Nova Scotia,Professional occupations in nursing [30],1166.67
2015,Nova Scotia,Professional occupations in nursing [30],1169.2
2016,Nova Scotia,Professional occupations in nursing [30],1153.39
2017,Nova Scotia,Professional occupations in nursing [30],1193.46
2018,Nova Scotia,Professional occupations in nursing [30],1242.75
1997,Nova Scotia,Professional occupations in health (except nursing) [31],654.44
1998,Nova Scotia,Professional occupations in health (except nursing) [31],630.11
1999,Nova Scotia,Professional occupations in health (except nursing) [31],765.04
2000,Nova Scotia,Professional occupations in health (except nursing) [31],727.46
2001,Nova Scotia,Professional occupations in health (except nursing) [31],835.42
2002,Nova Scotia,Professional occupations in health (except nursing) [31],936.82
2003,Nova Scotia,Professional occupations in health (except nursing) [31],818.43
2004,Nova Scotia,Professional occupations in health (except nursing) [31],993.28
2005,Nova Scotia,Professional occupations in health (except nursing) [31],970.81
2006,Nova Scotia,Professional occupations in health (except nursing) [31],1017.69
2007,Nova Scotia,Professional occupations in health (except nursing) [31],1033.1
2008,Nova Scotia,Professional occupations in health (except nursing) [31],1124.32
2009,Nova Scotia,Professional occupations in health (except nursing) [31],1100.15
2010,Nova Scotia,Professional occupations in health (except nursing) [31],1092.71
2011,Nova Scotia,Professional occupations in health (except nursing) [31],1205.97
2012,Nova Scotia,Professional occupations in health (except nursing) [31],1211.95
2013,Nova Scotia,Professional occupations in health (except nursing) [31],1222.7
2014,Nova Scotia,Professional occupations in health (except nursing) [31],1262.73
2015,Nova Scotia,Professional occupations in health (except nursing) [31],1290.82
2016,Nova Scotia,Professional occupations in health (except nursing) [31],1270.44
2017,Nova Scotia,Professional occupations in health (except nursing) [31],1331.21
2018,Nova Scotia,Professional occupations in health (except nursing) [31],1355.36
1997,Nova Scotia,Technical occupations in health [32],443.17
1998,Nova Scotia,Technical occupations in health [32],488.47
1999,Nova Scotia,Technical occupations in health [32],509.99
2000,Nova Scotia,Technical occupations in health [32],543.22
2001,Nova Scotia,Technical occupations in health [32],593.96
2002,Nova Scotia,Technical occupations in health [32],574.81
2003,Nova Scotia,Technical occupations in health [32],609.45
2004,Nova Scotia,Technical occupations in health [32],638.82
2005,Nova Scotia,Technical occupations in health [32],704.9
2006,Nova Scotia,Technical occupations in health [32],755.22
2007,Nova Scotia,Technical occupations in health [32],705.55
2008,Nova Scotia,Technical occupations in health [32],731.48
2009,Nova Scotia,Technical occupations in health [32],812.33
2010,Nova Scotia,Technical occupations in health [32],834.54
2011,Nova Scotia,Technical occupations in health [32],872.9
2012,Nova Scotia,Technical occupations in health [32],875.48
2013,Nova Scotia,Technical occupations in health [32],851.13
2014,Nova Scotia,Technical occupations in health [32],881.15
2015,Nova Scotia,Technical occupations in health [32],942.79
2016,Nova Scotia,Technical occupations in health [32],912.43
2017,Nova Scotia,Technical occupations in health [32],922.39
2018,Nova Scotia,Technical occupations in health [32],910.09
1997,Nova Scotia,Assisting occupations in support of health services [34],345.49
1998,Nova Scotia,Assisting occupations in support of health services [34],321.12
1999,Nova Scotia,Assisting occupations in support of health services [34],327.39
2000,Nova Scotia,Assisting occupations in support of health services [34],359.91
2001,Nova Scotia,Assisting occupations in support of health services [34],417.75
2002,Nova Scotia,Assisting occupations in support of health services [34],424.5
2003,Nova Scotia,Assisting occupations in support of health services [34],434.38
2004,Nova Scotia,Assisting occupations in support of health services [34],464.33
2005,Nova Scotia,Assisting occupations in support of health services [34],473.47
2006,Nova Scotia,Assisting occupations in support of health services [34],506.18
2007,Nova Scotia,Assisting occupations in support of health services [34],537.25
2008,Nova Scotia,Assisting occupations in support of health services [34],530.13
2009,Nova Scotia,Assisting occupations in support of health services [34],543.44
2010,Nova Scotia,Assisting occupations in support of health services [34],546.09
2011,Nova Scotia,Assisting occupations in support of health services [34],578.78
2012,Nova Scotia,Assisting occupations in support of health services [34],601.5
2013,Nova Scotia,Assisting occupations in support of health services [34],630.57
2014,Nova Scotia,Assisting occupations in support of health services [34],634.08
2015,Nova Scotia,Assisting occupations in support of health services [34],645.98
2016,Nova Scotia,Assisting occupations in support of health services [34],649.67
2017,Nova Scotia,Assisting occupations in support of health services [34],695.01
2018,Nova Scotia,Assisting occupations in support of health services [34],689.04
1997,Nova Scotia,"Occupations in education, law and social, community and government services [4]",588.22
1998,Nova Scotia,"Occupations in education, law and social, community and government services [4]",615.29
1999,Nova Scotia,"Occupations in education, law and social, community and government services [4]",639.06
2000,Nova Scotia,"Occupations in education, law and social, community and government services [4]",664.29
2001,Nova Scotia,"Occupations in education, law and social, community and government services [4]",656.41
2002,Nova Scotia,"Occupations in education, law and social, community and government services [4]",683.23
2003,Nova Scotia,"Occupations in education, law and social, community and government services [4]",729.04
2004,Nova Scotia,"Occupations in education, law and social, community and government services [4]",740.39
2005,Nova Scotia,"Occupations in education, law and social, community and government services [4]",766.31
2006,Nova Scotia,"Occupations in education, law and social, community and government services [4]",759.1
2007,Nova Scotia,"Occupations in education, law and social, community and government services [4]",780.68
2008,Nova Scotia,"Occupations in education, law and social, community and government services [4]",838.3
2009,Nova Scotia,"Occupations in education, law and social, community and government services [4]",883.04
2010,Nova Scotia,"Occupations in education, law and social, community and government services [4]",897.96
2011,Nova Scotia,"Occupations in education, law and social, community and government services [4]",915.77
2012,Nova Scotia,"Occupations in education, law and social, community and government services [4]",918.77
2013,Nova Scotia,"Occupations in education, law and social, community and government services [4]",916.87
2014,Nova Scotia,"Occupations in education, law and social, community and government services [4]",931.53
2015,Nova Scotia,"Occupations in education, law and social, community and government services [4]",983.25
2016,Nova Scotia,"Occupations in education, law and social, community and government services [4]",1053.81
